,line_urn,heat,heat_scaled
24760,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:95,-8.388597613631156,-3.3174027041015632
12640,urn:cts:greekLit:tlg0085.tlg006.perseus-grc2:895,-8.387723507696759,-3.3170570251783387
22051,urn:cts:greekLit:tlg0006.tlg002.perseus-grc2:308,-8.38749650438923,-3.316967253154346
21987,urn:cts:greekLit:tlg0006.tlg002.perseus-grc2:247,-8.387322039379947,-3.316898258225727
10909,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:403,-8.386806138180365,-3.31669423699198
28604,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:1454,-8.386019861119964,-3.316383291376695
17595,urn:cts:greekLit:tlg0006.tlg006.perseus-grc2:882,-8.385885866340884,-3.3163303010363627
42273,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:583,-8.385055042739243,-3.3160017387915564
34359,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:276,-8.384876302911668,-3.3159310533188897
43921,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:548,-8.384315099627361,-3.3157091166640806
13625,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:791,-8.383553476827117,-3.3154079209632723
11479,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:968,-8.383038967558278,-3.315204450190403
25893,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:1212,-8.381644374292222,-3.3146529363754578
19946,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2:684,-8.381116437632357,-3.314444155529875
18183,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:185,-8.380914475291256,-3.314364286349428
27671,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:509,-8.380804959666905,-3.314320976675381
27679,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:517,-8.380352827062527,-3.314142173734358
26086,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:1403,-8.380000988548492,-3.3140030336668964
44573,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:1216,-8.379508218984919,-3.3138081602019875
11012,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:506,-8.378919827343292,-3.3135754714841696
13286,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:456,-8.37857607512481,-3.3134395292693135
38835,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:1381,-8.378496097369073,-3.3134079008094246
231,urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:240,-8.377834230112859,-3.3131461550055787
37798,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:385,-8.377834230112859,-3.3131461550055787
26310,urn:cts:greekLit:tlg0085.tlg007.perseus-grc2:197,-8.377271703526446,-3.3129236950301633
16776,urn:cts:greekLit:tlg0006.tlg006.perseus-grc2:58,-8.377257502602742,-3.3129180790517996
38785,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:1331,-8.376805097651474,-3.312739168406921
37363,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2:1025,-8.376662753791017,-3.3126828762912015
2511,urn:cts:greekLit:tlg0085.tlg002.perseus-grc2:623,-8.376556066396763,-3.312640685085175
10505,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:7,-8.376423167200608,-3.312588128010321
6217,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2:221,-8.375596495926535,-3.312261207868681
32618,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:1362,-8.37472393144765,-3.3119161385382534
3578,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:620,-8.37472393144765,-3.3119161385382534
20119,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2:848,-8.3731823228449,-3.3113064851989256
38066,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:620,-8.373156586582486,-3.311296307389659
28271,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:1120,-8.373023286745887,-3.311243591875248
10769,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:265,-8.372807335672556,-3.31115819063089
29334,urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:740,-8.372397468023534,-3.3109961020304097
3011,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:105,-8.37207492327607,-3.3108685466431194
9699,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:971,-8.372013920444969,-3.3108444221152573
22122,urn:cts:greekLit:tlg0006.tlg002.perseus-grc2:379,-8.371629115780658,-3.3106922450657987
14701,urn:cts:greekLit:tlg0085.tlg003.perseus-grc2:447,-8.371115990071448,-3.3104893214433195
37852,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:439,-8.370643718922532,-3.310302554398499
20835,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:577,-8.370083551891145,-3.310081027546186
34215,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:123,-8.369608830780878,-3.309893291625663
43209,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:1510,-8.369558973053454,-3.30987357460413
18914,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:988,-8.368677763677132,-3.3095250865132075
31021,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:1153,-8.367666787076194,-3.3091252799347775
6586,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2:592,-8.367099759078371,-3.308901039805507
5669,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:1085,-8.366986476951693,-3.3088562406089457
22400,urn:cts:greekLit:tlg0006.tlg002.perseus-grc2:659,-8.366903898973765,-3.308823583850344
3920,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:958,-8.365531272662672,-3.3082807572128203
8369,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:1109,-8.364202773852929,-3.3077553814889122
7283,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:7,-8.36330744454817,-3.307401309450477
36734,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2:405,-8.362536346255762,-3.307096366517441
7838,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:567,-8.362217570399661,-3.3069703015974463
12437,urn:cts:greekLit:tlg0085.tlg006.perseus-grc2:691,-8.361813597409135,-3.3068105441322677
